domain,BACC average standard,BACC average not use,BACC average use,BACCDROP,BACC improvement,Recall average standard,Recall average not use,Recall average use,Recall DROP,Recall improvement,Precision average standard,Precision average not use,Precision average use,Precision DROP,Precision improvement,BACC average standard std,BACC average not use std,BACC average use std,BACC improvement std,Recall average standard std,Recall average not use std,Recall average use std,Recall improvement std,Precision average standard std,Precision average not use std,Precision average use std,Precision improvement std
re-occurring\bw,0.6089724310776942,0.5903498329156224,0.5995666248955723,0.01862259816207173,0.009216791979949833,0.32630952380952377,0.28503968253968254,0.3279761904761905,0.041269841269841255,0.04293650793650792,0.1731956097253716,0.16023736657962845,0.1518792907929812,0.012958243145743134,-0.00835807578664715,0.04224624903471058,0.036745364783046505,0.0353330637408971,0.0050391461342773145,0.10082660066351803,0.09149035817341589,0.09037384562354925,0.009014559484015534,0.03301177875087899,0.024778062190916293,0.02350196843660682,0.005915257127543779
re-occurring\depots,0.7313492063492063,0.6565575396825396,0.6836904761904762,0.07479166666666665,0.027132936507936602,0.645,0.47500000000000003,0.66625,0.1699999999999999,0.1912499999999999,0.43043750000000003,0.34874999999999995,0.29451388888888885,0.0816875,-0.054236111111111054,0.06958828640248554,0.0787217489928118,0.1385592573610782,0.05983750836826632,0.0636396103067893,0.10606601717798214,0.1467246570962086,0.04065863991822648,0.16944046244182648,0.14554614579423103,0.14721570347203264,0.0016695576778015591
re-occurring\driverlog,0.8015952380952381,0.5876309523809523,0.6528095238095237,0.21396428571428575,0.06517857142857134,0.7341666666666666,0.3491666666666666,0.6916666666666667,0.38499999999999995,0.34249999999999997,0.6360892857142857,0.3082083333333333,0.2888045634920634,0.3278809523809524,-0.01940376984126988,0.1456479287906207,0.08645312766067473,0.07941491689187433,0.05803760680674965,0.17912790278333396,0.12347683093511017,0.11180339887498954,0.0837696908858515,0.2757633348431601,0.13214342087503092,0.08993745992656585,0.06623461814764488
re-occurring\dwr,0.8083095238095239,0.6872738095238095,0.6714285714285715,0.12103571428571436,-0.01584523809523804,0.7282142857142857,0.49000000000000005,0.6563095238095238,0.2382142857142857,0.16630952380952374,0.6488273809523809,0.45666666666666667,0.2754662698412698,0.19216071428571424,-0.1812003968253968,0.10700277383449758,0.08650085934717905,0.052789850853877225,0.057911946780711474,0.11604670066268093,0.14208272238382819,0.10102717916335792,0.1537902188238761,0.23099727219274155,0.16091238342305694,0.056925738642014126,0.11648257104040197
re-occurring\easy-ipc-grid,0.7520555555555555,0.6089166666666667,0.6423888888888889,0.14313888888888884,0.03347222222222218,0.731,0.445,0.7969999999999999,0.2859999999999999,0.352,0.4137940476190476,0.27141666666666664,0.27404047619047617,0.14237738095238098,0.00262380952380951,0.08086076705568665,0.08609701696684877,0.11375445242194336,0.034210989518587066,0.0951548445663406,0.09264628073124866,0.07601900347208514,0.15142288099520793,0.16432952525737785,0.07478567112046443,0.08110799472937247,0.02135273116591618
re-occurring\ferry,0.769484126984127,0.655079365079365,0.6887599206349208,0.11440476190476197,0.03368055555555558,0.6470238095238096,0.4232142857142857,0.6081349206349206,0.2238095238095238,0.1849206349206349,0.5713210978835979,0.3999751984126984,0.3379910714285714,0.17134589947089943,-0.06198412698412697,0.038476913644390515,0.03873882815084084,0.03929681330708909,0.007264384497255104,0.055336017474444,0.06485855882658222,0.07977671030558132,0.06830021043361349,0.07907381086620305,0.06113796621523011,0.06664730200794058,0.026859037649162965
re-occurring\intrusion-detection,0.9954191033138402,0.8808528265107213,0.8855799220272904,0.11456627680311883,0.004727095516569133,0.995,0.7949999999999999,0.8433333333333334,0.19999999999999998,0.04833333333333337,0.9672222222222221,0.7672222222222222,0.6582777777777777,0.19999999999999998,-0.10894444444444436,0.004856934039092014,0.04327652402471996,0.04037100188178575,0.007521916800682734,0.008660254037844393,0.08261355820929153,0.03511884584284241,0.054848275573014506,0.020822219257677972,0.06720787266495012,0.13136043854530485,0.06420027979632117
re-occurring\logistics,0.9293939393939394,0.8032687991021324,0.837814253647587,0.12612514029180696,0.03454545454545454,0.9094444444444445,0.6705555555555556,0.8685185185185185,0.23888888888888887,0.19796296296296295,0.7547654320987655,0.5946913580246913,0.3941820987654321,0.160074074074074,-0.20050925925925922,0.03772528027746191,0.027515952438897026,0.05387710315404984,0.044746493208675436,0.05550275268448907,0.04722875771768249,0.12729952770174136,0.12017862220281901,0.13106916047847506,0.0803615293182992,0.09691861235657896,0.11667458471807735
re-occurring\miconic,0.8514285714285714,0.6426190476190475,0.6719047619047619,0.20880952380952383,0.0292857142857143,0.8023809523809524,0.4309523809523809,0.7857142857142857,0.3714285714285714,0.3547619047619047,0.7295238095238095,0.40952380952380946,0.2797619047619047,0.31999999999999995,-0.12976190476190474,0.1485405187626788,0.05966617894630856,0.07686826496500465,0.04250116711749459,0.19207169076033667,0.08132500607904443,0.17728105208558365,0.13868238616639186,0.2610091760388597,0.10523656897550138,0.05512551815015213,0.07148833478674688
re-occurring\rovers,0.9308333333333333,0.6388888888888888,0.6794444444444444,0.2919444444444444,0.04055555555555552,0.9194444444444444,0.43333333333333335,0.7861111111111111,0.4861111111111111,0.3527777777777777,0.8416666666666668,0.40648148148148144,0.292824074074074,0.4351851851851852,-0.11365740740740742,0.06092572892009132,0.048369718105749054,0.11426415140496292,0.07517140906448898,0.07917397627073253,0.06582805886043833,0.25656202773223097,0.20640216048251978,0.1353692937080353,0.07883540179469938,0.06356959262883384,0.045650786866863406
re-occurring\satellite,0.8102380952380951,0.6480102040816326,0.6814965986394557,0.16222789115646266,0.03348639455782317,0.7462585034013606,0.43758503401360543,0.7613095238095238,0.3086734693877551,0.32372448979591834,0.6562981859410429,0.40028344671201815,0.32465986394557816,0.2560147392290249,-0.0756235827664399,0.18214114533898382,0.09505480165104978,0.09052366280535053,0.0317485153506952,0.23481412674127156,0.13271515059515576,0.15005234977153034,0.12939935361805038,0.3070158747206761,0.16645658123016416,0.09163219666482116,0.11995692349032323
re-occurring\sokoban,0.7895238095238094,0.642718253968254,0.6756481481481482,0.14680555555555555,0.032929894179894184,0.6630555555555556,0.41097222222222224,0.6261111111111112,0.25208333333333327,0.21513888888888885,0.6016319444444445,0.3925,0.3412037037037037,0.2091319444444444,-0.051296296296296284,0.10182117176898019,0.03345288227608308,0.0473865333095243,0.025832649597986933,0.17751499675822907,0.05995465107216611,0.11935784974728847,0.09096766315972253,0.18004438190629143,0.06393355926272211,0.06420181016126836,0.005487546694496529
re-occurring\zeno-travel,0.8804017857142856,0.6616220238095237,0.649360119047619,0.21877976190476195,-0.012261904761904623,0.8291666666666666,0.46249999999999997,0.6375,0.36666666666666664,0.17499999999999996,0.7737847222222223,0.4458333333333333,0.300359623015873,0.32795138888888886,-0.14547371031746026,0.10035708842897087,0.0633668043006959,0.1187753769578749,0.07240822898741879,0.14743171677461775,0.11892652571448693,0.2338783317754641,0.13709958532503408,0.17981183634343295,0.12332207155790616,0.10009583136736235,0.07821286311241651
