max bacc imp,min bacc imp,max recall imp,min recall imp,max precision imp,min precision imp
re-occurring\driverlog,re-occurring\dwr,re-occurring\miconic,re-occurring\bw,re-occurring\easy-ipc-grid,re-occurring\logistics
0.06517857142857134,-0.01584523809523804,0.3547619047619047,0.04293650793650792,0.00262380952380951,-0.20050925925925922
