max BACC improvement,min BACC improvement,max Recall improvement,min Recall improvement,max precision improvement,min precision improvement
driverlog_p04,dwr_p07,easy-ipc-grid-aaai_p5-5-5,dwr_p07,driverlog_p04,logistics-aaai_p01
0.1366666666666666,-0.0901785714285712,0.56,0.0,0.0486111111111111,-0.3758333333333333
