"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","106804000","50/1523968/153196043/9658374/153196043/8989/9658374/153196043/8989/","1.0/0.0/0.0/0.0/0.0/7.572644580856253E-77/0.0/0.0/7.572644580856253E-77/","0/10/","no"
"1","105542900","2502/93/4494307/110615/43105/2502/395/43105/2502/","7.1271051474259076E-12/0.9613118666036153/0.0/0.0/1.823046533315624E-199/7.1271051474259076E-12/0.03868813337500307/1.823046533315624E-199/7.1271051474259076E-12/","1/","no"
"2","113120100","17698/45260/50/744/191073762/604/4919/191073762/1770/","5.212778246725081E-151/0.0/0.9999796107483623/1.2307786664627867E-6/0.0/1.915847296905623E-5/3.448589410787872E-42/0.0/2.25526122625231E-15/","2/","no"
"3","113013899","554/76233608/191073762/50/191073762/43578/845/746356/17025/","5.10653599699126E-5/0.0/0.0/0.9999487647792255/0.0/0.0/1.6986080478899893E-7/0.0/2.805691387897373E-145/","3/9/10/","no"
"4","111966700","478056859/518/746966/16768/50/478056859/5090/128/478056859/","0.0/8.501630145265123E-5/0.0/3.5592497550483296E-143/0.8218503554494274/0.0/9.914692324189422E-44/0.17806462824912/0.0/","4/","no"
"5","106724799","10169/24409196/153196043/780/153196043/50/1523968/153196043/1522/","6.7743117641961625E-87/0.0/0.0/6.076139557687893E-7/0.0/0.9999993923857524/0.0/0.0/2.917889273246128E-13/","5/","no"
"6","111266900","107821/478056859/34847/102537/191073762/115515/50/191073762/15448/","0.0/0.0/4.824248503896289E-297/0.0/0.0/0.0/1.0/0.0/7.535789827576015E-132/","6/10/","no"
"7","113360401","478056859/518/746966/15536/128/478056859/6916/50/478056859/","0.0/8.501630145265123E-5/0.0/1.1029368678325394E-132/0.17806462824912/0.0/2.7979095706125805E-59/0.8218503554494274/0.0/","7/","no"
"8","107791500","415/2368056/14902303/1224/14902303/415/1297/14902303/50/","7.782828622908918E-4/0.0/0.0/1.0046963014657681E-10/0.0/7.782828622908918E-4/2.4010300966809878E-11/0.0/0.9984434341509383/","8/11/","no"
"9","113564400","5021/24409196/61218842/50/61218842/13473/5021/236269/5245/","4.667253408561805E-43/0.0/0.0/1.0/0.0/4.959015647830313E-115/4.667253408561805E-43/0.0/5.775264675960813E-45/","3/9/10/","no"
"10","107990799","265/8428/14902303/265/21748/54572/265/21748/2833/","0.3333262046307166/1.5676657069495227E-14/0.0/0.3333262046307166/2.8046304349376164E-36/7.18769516482043E-90/0.3333262046307166/2.8046304349376164E-36/2.138610783445694E-5/","0/3/6/9/10/","no"
"11","113668400","316/50724/14902303/14902303/936940/316/145479/936940/316/","0.3333333333333333/2.905400801297807E-70/0.0/0.0/0.0/0.3333333333333333/4.441363905467716E-200/0.0/0.3333333333333333/","0/5/8/10/11/","no"
"0","110235400","50/1523968/153196043/2120/153196043/8989/2120/153196043/8989/","1.0/0.0/0.0/2.3591381927333712E-18/0.0/7.572644580856253E-77/2.3591381927333712E-18/0.0/7.572644580856253E-77/","0/10/","no"
"1","105569000","2502/50/4494307/43203/110371/2502/395/110371/2502/","1.316139010801877E-21/0.9988475428963494/0.0/0.0/0.0/1.316139010801877E-21/0.00115245710365061/0.0/1.316139010801877E-21/","1/","no"
"2","114683101","17698/45260/50/744/191073762/604/4919/191073762/1770/","5.212778246725081E-151/0.0/0.9999796107483623/1.2307786664627867E-6/0.0/1.915847296905623E-5/3.448589410787872E-42/0.0/2.25526122625231E-15/","2/","no"
"3","111553201","554/76233608/191073762/50/191073762/43578/845/746356/17025/","5.10653599699126E-5/0.0/0.0/0.9999487647792255/0.0/0.0/1.6986080478899893E-7/0.0/2.805691387897373E-145/","3/9/10/","no"
"4","114058099","478056859/518/746966/16768/50/478056859/5090/128/478056859/","0.0/8.501630145265123E-5/0.0/3.5592497550483296E-143/0.8218503554494274/0.0/9.914692324189422E-44/0.17806462824912/0.0/","4/","no"
"5","111420699","10169/24409196/153196043/780/153196043/50/1523968/153196043/1522/","6.7743117641961625E-87/0.0/0.0/6.076139557687893E-7/0.0/0.9999993923857524/0.0/0.0/2.917889273246128E-13/","5/","no"
"6","111687400","107821/478056859/34847/102537/191073762/115515/50/191073762/15448/","0.0/0.0/4.824248503896289E-297/0.0/0.0/0.0/1.0/0.0/7.535789827576015E-132/","6/10/","no"
"7","111347800","478056859/518/746966/15536/128/478056859/6916/50/478056859/","0.0/8.501630145265123E-5/0.0/1.1029368678325394E-132/0.17806462824912/0.0/2.7979095706125805E-59/0.8218503554494274/0.0/","7/","no"
"8","111729200","415/2368056/14902303/1224/14902303/415/1297/14902303/50/","7.782828622908918E-4/0.0/0.0/1.0046963014657681E-10/0.0/7.782828622908918E-4/2.4010300966809878E-11/0.0/0.9984434341509383/","8/11/","no"
"9","112870800","5021/24409196/61218842/50/61218842/13473/5021/236269/5245/","4.667253408561805E-43/0.0/0.0/1.0/0.0/4.959015647830313E-115/4.667253408561805E-43/0.0/5.775264675960813E-45/","3/9/10/","no"
"10","113411100","265/8412/14902303/265/22101/53689/265/22101/2833/","0.3333262046307163/1.664855075728917E-14/0.0/0.3333262046307163/7.439392571268554E-37/1.987244975925161E-88/0.3333262046307163/7.439392571268554E-37/2.1386107834456925E-5/","0/3/6/9/10/","no"
"11","108194400","1100/415/14902303/14902303/936940/1100/145479/936940/1100/","0.12210778863586956/0.6336766340923913/0.0/0.0/0.0/0.12210778863586956/2.282289664867557E-152/0.0/0.12210778863586956/","1/","no"
"0","109927500","596/1523968/153196043/596/153196043/403/9658374/153196043/8989/","0.27682439296705014/0.0/0.0/0.27682439296705014/0.0/0.4463512138029674/0.0/0.0/2.6293233203785144E-10/","5/","no"
"1","110999300","2502/125/4494307/4494307/14312/2502/395/14312/2502/","5.738823592525329E-9/0.8949993995710039/0.0/0.0/1.1280598722377857E-49/5.738823592525329E-9/0.1050005832125253/1.1280598722377857E-49/5.738823592525329E-9/","1/","no"
"2","113847700","17698/45260/50/744/191073762/604/4919/191073762/1770/","5.212778246725081E-151/0.0/0.9999796107483623/1.2307786664627867E-6/0.0/1.915847296905623E-5/3.448589410787872E-42/0.0/2.25526122625231E-15/","2/","no"
"3","111086400","554/76233608/191073762/50/191073762/43578/845/746356/17025/","5.10653599699126E-5/0.0/0.0/0.9999487647792255/0.0/0.0/1.6986080478899893E-7/0.0/2.805691387897373E-145/","3/9/10/","no"
"4","113519500","478056859/518/746966/16768/50/478056859/5090/128/478056859/","0.0/8.501630145265123E-5/0.0/3.5592497550483296E-143/0.8218503554494274/0.0/9.914692324189422E-44/0.17806462824912/0.0/","4/","no"
"5","108910300","10169/24409196/153196043/780/153196043/50/1523968/153196043/1522/","6.7743117641961625E-87/0.0/0.0/6.076139557687893E-7/0.0/0.9999993923857524/0.0/0.0/2.917889273246128E-13/","5/","no"
"6","111463600","107821/478056859/34847/102537/191073762/115515/50/191073762/15448/","0.0/0.0/4.824248503896289E-297/0.0/0.0/0.0/1.0/0.0/7.535789827576015E-132/","6/10/","no"
"7","118147001","478056859/518/746966/15536/128/478056859/6916/50/478056859/","0.0/8.501630145265123E-5/0.0/1.1029368678325394E-132/0.17806462824912/0.0/2.7979095706125805E-59/0.8218503554494274/0.0/","7/","no"
"8","108900400","415/2368056/14902303/1224/14902303/415/1297/14902303/50/","7.782828622908918E-4/0.0/0.0/1.0046963014657681E-10/0.0/7.782828622908918E-4/2.4010300966809878E-11/0.0/0.9984434341509383/","8/11/","no"
"9","112757800","5021/24409196/61218842/50/61218842/13473/5021/236269/5245/","4.667253408561805E-43/0.0/0.0/1.0/0.0/4.959015647830313E-115/4.667253408561805E-43/0.0/5.775264675960813E-45/","3/9/10/","no"
"10","108728700","290/8126/14902303/280/20993/54010/290/20993/2833/","0.3293432950286315/2.551880632230173E-13/0.0/0.34127474111161316/3.315130080628079E-33/3.102213735935618E-84/0.3293432950286315/3.315130080628079E-33/3.866883086854322E-5/","0/3/6/9/10/","no"
"11","108162600","316/50724/14902303/14902303/936940/316/145479/936940/316/","0.3333333333333333/2.905400801297807E-70/0.0/0.0/0.0/0.3333333333333333/4.441363905467716E-200/0.0/0.3333333333333333/","0/5/8/10/11/","no"
