Real_Goal,Results,BACC,Precision,Recall
6,0/1/6/,0.9473684210526316,0.3333333333333333,1.0
7,7/,1.0,1.0,1.0
8,0/1/3/8/9/10/13/18/19/,0.7894736842105263,0.1111111111111111,1.0
9,7/,0.47368421052631576,0.0,0.0
10,3/10/11/,0.9473684210526316,0.3333333333333333,1.0
11,0/1/6/7/10/,0.3684210526315789,0.0,0.0
12,12/14/,0.9736842105263157,0.5,1.0
13,9/13/14/,0.9473684210526316,0.3333333333333333,1.0
14,3/8/11/12/15/17/,0.34210526315789475,0.0,0.0
15,0/,0.47368421052631576,0.0,0.0
16,10/17/,0.4473684210526316,0.0,0.0
17,17/18/,0.9736842105263157,0.5,1.0
18,13/,0.47368421052631576,0.0,0.0
19,0/5/19/,0.9473684210526316,0.3333333333333333,1.0
0,18/,0.47368421052631576,0.0,0.0
1,1/5/,0.9736842105263157,0.5,1.0
2,1/2/,0.9736842105263157,0.5,1.0
3,4/5/,0.4473684210526316,0.0,0.0
4,15/,0.47368421052631576,0.0,0.0
5,5/,1.0,1.0,1.0
6,0/1/6/,0.9473684210526316,0.3333333333333333,1.0
7,5/7/,0.9736842105263157,0.5,1.0
8,5/8/19/,0.9473684210526316,0.3333333333333333,1.0
9,8/12/19/,0.42105263157894735,0.0,0.0
10,9/10/12/,0.9473684210526316,0.3333333333333333,1.0
11,3/11/,0.9736842105263157,0.5,1.0
12,4/,0.47368421052631576,0.0,0.0
13,12/,0.47368421052631576,0.0,0.0
14,1/,0.47368421052631576,0.0,0.0
15,0/1/3/6/7/10/12/13/16/19/,0.23684210526315788,0.0,0.0
16,16/,1.0,1.0,1.0
17,17/,1.0,1.0,1.0
18,18/,1.0,1.0,1.0
19,5/19/,0.9736842105263157,0.5,1.0
0,0/1/,0.9736842105263157,0.5,1.0
1,5/8/19/,0.42105263157894735,0.0,0.0
2,5/8/12/17/19/,0.3684210526315789,0.0,0.0
3,10/11/,0.4473684210526316,0.0,0.0
4,4/,1.0,1.0,1.0
5,17/,0.47368421052631576,0.0,0.0
6,6/12/14/,0.9473684210526316,0.3333333333333333,1.0
7,0/19/,0.4473684210526316,0.0,0.0
8,3/5/13/14/19/,0.3684210526315789,0.0,0.0
9,0/1/6/7/10/,0.3684210526315789,0.0,0.0
10,10/11/,0.9736842105263157,0.5,1.0
11,11/12/,0.9736842105263157,0.5,1.0
12,6/9/12/13/14/,0.8947368421052632,0.2,1.0
13,14/,0.47368421052631576,0.0,0.0
14,6/8/11/,0.42105263157894735,0.0,0.0
15,1/7/11/12/14/19/,0.34210526315789475,0.0,0.0
16,10/,0.47368421052631576,0.0,0.0
17,10/12/15/19/,0.39473684210526316,0.0,0.0
18,10/17/,0.4473684210526316,0.0,0.0
19,1/2/,0.4473684210526316,0.0,0.0
0,1/5/,0.4473684210526316,0.0,0.0
1,13/16/,0.4473684210526316,0.0,0.0
2,10/,0.47368421052631576,0.0,0.0
3,5/,0.47368421052631576,0.0,0.0
4,19/,0.47368421052631576,0.0,0.0
5,5/,1.0,1.0,1.0
6,0/1/6/,0.9473684210526316,0.3333333333333333,1.0
7,0/5/19/,0.42105263157894735,0.0,0.0
8,0/1/3/6/7/9/10/14/16/19/,0.23684210526315788,0.0,0.0
9,0/1/6/7/10/,0.3684210526315789,0.0,0.0
10,8/11/,0.4473684210526316,0.0,0.0
11,10/11/,0.9736842105263157,0.5,1.0
12,17/,0.47368421052631576,0.0,0.0
13,9/13/14/,0.9473684210526316,0.3333333333333333,1.0
14,0/1/6/7/10/,0.3684210526315789,0.0,0.0
