Real_Goal,Results,BACC,Precision,Recall
18,1/7/19/,0.42105263157894735,0.0,0.0
19,0/5/,0.4473684210526316,0.0,0.0
0,0/1/2/5/,0.9210526315789473,0.25,1.0
1,10/,0.47368421052631576,0.0,0.0
2,5/8/,0.4473684210526316,0.0,0.0
3,10/,0.47368421052631576,0.0,0.0
4,3/,0.47368421052631576,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/12/14/17/18/,0.8947368421052632,0.2,1.0
7,5/10/,0.4473684210526316,0.0,0.0
8,0/1/3/6/7/9/10/12/13/14/16/17/18/19/,0.13157894736842105,0.0,0.0
9,0/1/6/7/10/17/19/,0.3157894736842105,0.0,0.0
10,10/,1.0,1.0,1.0
11,3/10/11/,0.9473684210526316,0.3333333333333333,1.0
12,8/14/17/,0.42105263157894735,0.0,0.0
13,5/8/,0.4473684210526316,0.0,0.0
14,8/11/,0.4473684210526316,0.0,0.0
15,3/4/8/,0.42105263157894735,0.0,0.0
16,13/18/,0.4473684210526316,0.0,0.0
17,10/13/18/,0.42105263157894735,0.0,0.0
18,0/5/6/10/11/13/17/18/,0.8157894736842105,0.125,1.0
19,0/2/7/19/,0.9210526315789473,0.25,1.0
0,2/5/,0.4473684210526316,0.0,0.0
1,1/2/,0.9736842105263157,0.5,1.0
2,0/1/2/5/7/19/,0.868421052631579,0.16666666666666666,1.0
3,7/19/,0.4473684210526316,0.0,0.0
4,9/14/17/,0.42105263157894735,0.0,0.0
5,5/,1.0,1.0,1.0
6,5/13/16/18/,0.39473684210526316,0.0,0.0
7,7/19/,0.9736842105263157,0.5,1.0
8,7/8/19/,0.9473684210526316,0.3333333333333333,1.0
9,4/10/11/14/17/,0.3684210526315789,0.0,0.0
10,16/,0.47368421052631576,0.0,0.0
11,5/14/17/,0.42105263157894735,0.0,0.0
12,7/9/10/14/17/19/,0.34210526315789475,0.0,0.0
13,9/,0.47368421052631576,0.0,0.0
14,4/6/9/10/12/13/14/17/18/,0.7894736842105263,0.1111111111111111,1.0
15,4/,0.47368421052631576,0.0,0.0
16,10/,0.47368421052631576,0.0,0.0
17,6/17/,0.9736842105263157,0.5,1.0
18,0/5/10/11/13/18/,0.868421052631579,0.16666666666666666,1.0
19,7/19/,0.9736842105263157,0.5,1.0
0,0/,1.0,1.0,1.0
1,15/,0.47368421052631576,0.0,0.0
2,5/,0.47368421052631576,0.0,0.0
3,3/15/,0.9736842105263157,0.5,1.0
4,1/7/10/12/18/19/,0.34210526315789475,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/17/,0.9736842105263157,0.5,1.0
7,0/5/,0.4473684210526316,0.0,0.0
8,7/9/10/13/14/17/18/19/,0.2894736842105263,0.0,0.0
9,0/1/7/19/,0.39473684210526316,0.0,0.0
10,7/8/10/12/13/14/17/18/19/,0.7894736842105263,0.1111111111111111,1.0
11,3/10/11/,0.9473684210526316,0.3333333333333333,1.0
12,8/11/,0.4473684210526316,0.0,0.0
13,12/18/,0.4473684210526316,0.0,0.0
