max BACC improvement,min BACC improvement,max Recall improvement,min Recall improvement,max precision improvement,min precision improvement
driverlog_p04,dwr_p07,easy-ipc-grid_p5-5-5,dwr_p07,easy-ipc-grid_p5-5-5,logistics_p01
0.1199999999999999,-0.0901785714285713,0.56,0.0,0.0499999999999999,-0.3791666666666665
