max bacc imp,min bacc imp,max recall imp,min recall imp,max precision imp,min precision imp
rslt_use_oc_ol\driverlog,rslt_use_oc_ol\dwr,rslt_use_oc_ol\miconic,rslt_use_oc_ol\bw,rslt_use_oc_ol\easy-ipc-grid,rslt_use_oc_ol\logistics
0.06517857142857134,-0.01584523809523804,0.3547619047619047,0.04293650793650792,0.00262380952380951,-0.20050925925925922
