max bacc imp,min bacc imp,max recall imp,min recall imp,max precision imp,min precision imp
gradual\driverlog,gradual\dwr,gradual\miconic,gradual\intrusion-detection,gradual\easy-ipc-grid,gradual\logistics
0.06490476190476177,-0.01641666666666658,0.3714285714285714,0.03666666666666667,0.011790476190476181,-0.20128086419753083
