max BACC improvement,min BACC improvement,max Recall improvement,min Recall improvement,max precision improvement,min precision improvement
driverlog_p04,dwr_p07,easy-ipc-grid-aaai_p5-5-5,dwr_p07,driverlog_p02,logistics_p01
0.1449999999999998,-0.0901785714285713,0.5599999999999999,0.0,0.0655555555555554,-0.3815000000000001
