Domain,Problem name,BACC average standard,BACC stdev standard,BACC average not use,BACC stdev not use,BACC average use,BACC stdev use,BACCDROP,BACC improvement,Recall average standard,Recall stdev standard,Recall average not use,Recall stdev not use,Recall average use,Recall stdev use,Recall DROP,Recall improvement,Precision average standard,Precision stdev standard,Precision average not use,Precision stdev not use,Precision average use,Precision stdev use,Precision DROP,Precision improvement,DomainFolder
rslt_use_sud_ol\bw,p01,0.6496428571428572,0.2591331539110974,0.623452380952381,0.2537057597968807,0.6301190476190476,0.2573570307223926,0.0261904761904762,0.0066666666666665,0.419047619047619,0.4945821760052167,0.3619047619047619,0.4816997322343371,0.3904761904761905,0.4890228142198719,0.0571428571428571,0.0285714285714285,0.206725245653817,0.3177952617392965,0.191609977324263,0.3202740961549504,0.1758106575963718,0.2809004312811723,0.015115268329554,-0.0157993197278911,bw_p01
rslt_use_sud_ol\bw,p02,0.6288157894736842,0.2517273874068511,0.6042105263157894,0.2440973435609955,0.6,0.2429421044268984,0.0246052631578947,-0.0042105263157894,0.375,0.4853377832181371,0.325,0.4695501963950961,0.34,0.4748975028266149,0.0499999999999999,0.015,0.1757619047619047,0.2930388178492881,0.1458333333333333,0.2630128130151873,0.1294345238095238,0.2380132647084578,0.0299285714285714,-0.0163988095238095,bw_p02
rslt_use_sud_ol\bw,p03,0.6222368421052632,0.2648569522725612,0.5956578947368422,0.2522491361039357,0.6063157894736841,0.2606444369016634,0.026578947368421,0.0106578947368419,0.38,0.4866044796320621,0.32,0.4676467334823193,0.38,0.4866044796320621,0.06,0.06,0.1997559523809523,0.3209747555770365,0.1718376623376623,0.3072594403092496,0.1526465201465201,0.2536142464227026,0.02791829004329,-0.0191911421911422,bw_p03
rslt_use_sud_ol\bw,p04,0.5351315789473685,0.1862167829114579,0.5319736842105263,0.1835932056238491,0.5452631578947369,0.2080514409458639,0.0031578947368422,0.0132894736842106,0.145,0.3529844046834771,0.135,0.3425810984938108,0.18,0.3851515397122457,0.0099999999999999,0.0449999999999999,0.1035,0.2743735059558762,0.1159999999999999,0.3077622263041689,0.12,0.2791668229205293,-0.0124999999999999,0.004,bw_p04
rslt_use_sud_ol\bw,p05,0.6109210526315789,0.2339500987402367,0.5801315789473684,0.2169782554292271,0.5910526315789474,0.2252031598411505,0.0307894736842104,0.0109210526315789,0.295,0.4571871613491706,0.23,0.4218885513364207,0.265,0.4424406952849399,0.0649999999999999,0.035,0.2075750915750915,0.3675653819685828,0.185885101010101,0.3741976183150723,0.1755018592518592,0.3410174118041257,0.0216899905649905,-0.0103832417582417,bw_p05
rslt_use_sud_ol\bw,p06,0.6342105263157894,0.2658942631643832,0.6192105263157894,0.2553988383998538,0.6303947368421053,0.2617430559356993,0.015,0.0111842105263159,0.38,0.4866044796320621,0.34,0.4748975028266149,0.39,0.4889739025622274,0.0399999999999999,0.0499999999999999,0.2295833333333333,0.3555119047308545,0.2033333333333333,0.3362145163508339,0.1998571428571428,0.32305554929721,0.02625,-0.0034761904761904,bw_p06
rslt_use_sud_ol\depots,p01,0.7672222222222221,0.2780240210464516,0.6849999999999998,0.2881946895324367,0.7288888888888888,0.2583292603132807,0.0822222222222223,0.0438888888888889,0.67,0.4725815626252608,0.5,0.502518907629606,0.67,0.4725815626252608,0.17,0.17,0.4776666666666667,0.4182375774078705,0.385,0.4382107022068488,0.3426111111111111,0.3529866557316,0.0926666666666666,-0.0423888888888888,depots_p01
rslt_use_sud_ol\depots,p03,0.6642857142857143,0.2714333301191304,0.5830357142857143,0.2642096440055386,0.5571428571428572,0.2313573439829136,0.0812499999999999,-0.0258928571428571,0.575,0.4974619125424375,0.3625,0.4837550902489524,0.525,0.5025252685881778,0.2124999999999999,0.1625,0.2795833333333333,0.3108558011585501,0.2041666666666666,0.306946075244982,0.1518749999999999,0.217063799464523,0.0754166666666666,-0.0522916666666666,depots_p03
rslt_use_sud_ol\driverlog,p01,0.8633333333333333,0.2407380365872559,0.6433333333333332,0.2999246609731967,0.7566666666666665,0.1880918155408318,0.22,0.1133333333333332,0.8333333333333334,0.3758230140014144,0.4333333333333333,0.4997174342809082,0.8166666666666667,0.390204929499423,0.4,0.3833333333333333,0.7,0.3817888315082132,0.3916666666666666,0.4702295388520797,0.3694444444444444,0.2847202126611367,0.3083333333333333,-0.0222222222222222,driverlog_p01
rslt_use_sud_ol\driverlog,p02,0.7716666666666667,0.2917461554314633,0.5716666666666667,0.2693945922391235,0.6366666666666666,0.298565307659569,0.2,0.0649999999999999,0.65,0.4809947319913076,0.3,0.4621247905424446,0.6833333333333333,0.4691017983072983,0.35,0.3833333333333333,0.5916666666666667,0.4647914300482827,0.2666666666666666,0.4265218680850986,0.3094444444444443,0.301086648855893,0.325,0.0427777777777776,driverlog_p02
rslt_use_sud_ol\driverlog,p03,0.5901785714285713,0.2578510816637465,0.5526785714285715,0.2633036712647063,0.5160714285714285,0.2594070997479412,0.0374999999999998,-0.0366071428571429,0.5,0.5031546054266276,0.3625,0.4837550902489524,0.5125,0.5029973450366553,0.1375,0.1499999999999999,0.2161011904761904,0.3080915170340417,0.1897916666666666,0.3156322629053931,0.1381696428571428,0.169286155528996,0.0263095238095238,-0.0516220238095238,driverlog_p03
rslt_use_sud_ol\driverlog,p04,0.785,0.301310696114858,0.4616666666666666,0.2470789804877583,0.5816666666666666,0.2632854136475244,0.3233333333333334,0.1199999999999999,0.6666666666666666,0.4753826885415284,0.1666666666666666,0.3758230140014144,0.5666666666666667,0.4997174342809082,0.5,0.4,0.65,0.4721031200195603,0.1666666666666666,0.3758230140014144,0.2041666666666666,0.1943317537317938,0.4833333333333334,0.0375,driverlog_p04
rslt_use_sud_ol\driverlog,p05,1.0,0.0,0.7,0.3025316904537664,0.7133333333333332,0.2473360896491611,0.3,0.0133333333333331,1.0,0.0,0.5,0.5042194840896107,0.8166666666666667,0.390204929499423,0.5,0.3166666666666666,1.0,0.0,0.5,0.5042194840896107,0.3694444444444444,0.3096709672739425,0.5,-0.1305555555555556,driverlog_p05
rslt_use_sud_ol\dwr,p01,0.875,0.2460708179724428,0.695,0.3050006946366082,0.7333333333333332,0.2405267289609052,0.18,0.0383333333333332,0.85,0.3600847357902755,0.5,0.5042194840896107,0.8333333333333334,0.3758230140014144,0.35,0.3333333333333333,0.7472222222222221,0.3764384422665548,0.4916666666666666,0.499929373542977,0.3305555555555555,0.1666431245143256,0.2555555555555555,-0.1611111111111111,dwr_p01
rslt_use_sud_ol\dwr,p02,0.6419642857142858,0.2580388623984362,0.59375,0.2676460892449037,0.5883928571428572,0.2631810033158341,0.0482142857142857,-0.0053571428571428,0.5875,0.4953901416106938,0.4,0.4929888180106566,0.6,0.4929888180106566,0.1875,0.1999999999999999,0.2793898809523809,0.35227716211684,0.2229166666666666,0.3306258715647652,0.1763244047619047,0.1781052780229475,0.0564732142857142,-0.0465922619047619,dwr_p02
rslt_use_sud_ol\dwr,p03,0.8333333333333334,0.2654258571960858,0.5821428571428571,0.2663694211185216,0.5999999999999999,0.2667874122769595,0.2511904761904763,0.0178571428571427,0.7142857142857143,0.4550157551932901,0.2857142857142857,0.4550157551932901,0.5571428571428572,0.5003104626191732,0.4285714285714286,0.2714285714285714,0.7142857142857143,0.4550157551932901,0.2857142857142857,0.4550157551932901,0.1845238095238095,0.1659967557976893,0.4285714285714286,-0.1011904761904761,dwr_p03
rslt_use_sud_ol\dwr,p05,0.8339285714285716,0.2672068658750312,0.7758928571428572,0.2919181236352797,0.7116071428571429,0.2575252706974429,0.0580357142857144,-0.0642857142857142,0.7375,0.4427689056352855,0.625,0.4871773518462232,0.6375,0.4837550902489524,0.1125,0.0124999999999999,0.69375,0.4393158518896387,0.625,0.4871773518462232,0.3166666666666666,0.3166722184723188,0.0687499999999999,-0.3083333333333333,dwr_p05
rslt_use_sud_ol\dwr,p07,0.9205357142857142,0.211706524567766,0.7651785714285714,0.300519173171288,0.675,0.3224366350491258,0.1553571428571428,-0.0901785714285713,0.875,0.3328054892439216,0.625,0.4871773518462232,0.625,0.4871773518462232,0.25,0.0,0.875,0.3328054892439216,0.60625,0.4819117388595477,0.303125,0.2409558694297738,0.26875,-0.303125,dwr_p07
rslt_use_sud_ol\easy-ipc-grid-aaai,p10-5-5,0.8175,0.2303640641263657,0.505,0.3008915324260792,0.4975,0.1347948176197544,0.3125,-0.0075,0.8,0.4040610178208843,0.36,0.4848732213850611,0.84,0.3703280399090206,0.44,0.48,0.57,0.3643557355673385,0.21,0.3045572229332549,0.2019999999999999,0.180972429967007,0.36,-0.008,easy-ipc-grid-aaai_p10-5-5
rslt_use_sud_ol\easy-ipc-grid-aaai,p5-10-10,0.7738888888888888,0.2489853458673128,0.73,0.2821783859130485,0.7833333333333333,0.2453584585127159,0.0438888888888888,0.0533333333333333,0.7,0.4605661864718383,0.57,0.497569851956243,0.74,0.440844002276808,0.13,0.17,0.4216666666666666,0.3814622760031036,0.4416666666666666,0.4357579152675187,0.4576666666666666,0.406135741076273,-0.02,0.016,easy-ipc-grid-aaai_p5-10-10
rslt_use_sud_ol\easy-ipc-grid-aaai,p5-5-5,0.6875,0.3054041317229833,0.495,0.25624844449503,0.5075,0.1810717807829767,0.1925,0.0124999999999999,0.64,0.4848732213850611,0.28,0.4535573676110727,0.84,0.3703280399090206,0.36,0.5599999999999999,0.4316666666666667,0.3961585667094986,0.16,0.275532878885513,0.203,0.1433598298559485,0.2716666666666667,0.043,easy-ipc-grid-aaai_p5-5-5
rslt_use_sud_ol\easy-ipc-grid,p04,0.645,0.2405328032308764,0.6277777777777778,0.2900756939455326,0.6827777777777778,0.2002764954948824,0.0172222222222222,0.055,0.7,0.4605661864718383,0.54,0.5009082659620331,0.81,0.3942772444036626,0.1599999999999999,0.27,0.2291428571428571,0.2807832910104963,0.258,0.3410016933713891,0.2671785714285714,0.3159962748609027,-0.0288571428571428,0.0091785714285714,easy-ipc-grid_p04
rslt_use_sud_ol\easy-ipc-grid,p05,0.7794444444444444,0.230547611183832,0.72,0.2739830588707959,0.7827777777777776,0.2212513866212045,0.0594444444444444,0.0627777777777776,0.77,0.4229525846816507,0.55,0.5,0.83,0.3775251680686369,0.2199999999999999,0.2799999999999999,0.396,0.3569426856066402,0.3916666666666666,0.4078185100620992,0.379,0.3379613071312234,0.0043333333333333,-0.0126666666666666,easy-ipc-grid_p05
rslt_use_sud_ol\easy-ipc-grid,p06,0.7261111111111112,0.2445636634079838,0.6694444444444443,0.2781002617411503,0.7627777777777779,0.2229022983121573,0.0566666666666668,0.0933333333333336,0.69,0.4648231987117317,0.5,0.502518907629606,0.79,0.4093601807403323,0.1899999999999999,0.29,0.331404761904762,0.3409714953152433,0.3069999999999999,0.3719785121052202,0.3458095238095239,0.3229672292136253,0.024404761904762,0.0388095238095239,easy-ipc-grid_p06
rslt_use_sud_ol\easy-ipc-grid,p07,0.5850000000000001,0.2082377259109888,0.5866666666666666,0.2867050322772672,0.5827777777777778,0.2282426615636864,-0.0016666666666664,-0.0038888888888887,0.62,0.4878317312145633,0.5,0.502518907629606,0.72,0.451260859854213,0.12,0.2199999999999999,0.1404285714285714,0.1834916921310222,0.1831666666666666,0.2439790680245315,0.1571190476190476,0.1967688745472948,-0.0427380952380952,-0.026047619047619,easy-ipc-grid_p07
rslt_use_sud_ol\easy-ipc-grid,p10-5-5,0.885,0.1633513803718467,0.5175,0.2977487812480411,0.53,0.1813357467826586,0.3675,0.0125,0.92,0.2740475156178696,0.32,0.4712120714991612,0.7,0.4629100498862757,0.6000000000000001,0.3799999999999999,0.66,0.3103651568914347,0.24,0.3811904018321809,0.228,0.277775419491123,0.42,-0.0119999999999999,easy-ipc-grid_p10-5-5
rslt_use_sud_ol\easy-ipc-grid,p5-10-10,0.7844444444444444,0.2418750794503427,0.7188888888888889,0.2714566986543062,0.7638888888888888,0.2257540605887373,0.0655555555555554,0.0449999999999999,0.74,0.440844002276808,0.56,0.4988876515698588,0.77,0.4229525846816507,0.1799999999999999,0.2099999999999999,0.4032619047619047,0.3489088748383657,0.3725,0.3916666666666666,0.3670952380952381,0.3581199364902681,0.0307619047619047,-0.0054047619047618,easy-ipc-grid_p5-10-10
rslt_use_sud_ol\easy-ipc-grid,p5-5-5,0.755,0.2742801338718039,0.5225,0.2995425934756565,0.5725,0.192476476166702,0.2325,0.05,0.72,0.4535573676110727,0.34,0.4785181206984064,0.9,0.3030457633656632,0.3799999999999999,0.56,0.5133333333333333,0.4010191099319485,0.24,0.3675622951505316,0.29,0.2736749151524002,0.2733333333333333,0.0499999999999999,easy-ipc-grid_p5-5-5
rslt_use_sud_ol\ferry,p01,0.7809523809523811,0.2773564783037361,0.6666666666666665,0.2833972647395097,0.6976190476190476,0.2514736873172389,0.1142857142857145,0.030952380952381,0.6428571428571429,0.4826170890658401,0.4428571428571428,0.5003104626191732,0.6142857142857143,0.4902781565677319,0.2,0.1714285714285714,0.5857142857142857,0.4660303262775417,0.3928571428571428,0.4654190658237994,0.3326190476190476,0.3520635706289067,0.1928571428571429,-0.0602380952380952,ferry_p01
rslt_use_sud_ol\ferry,p02,0.6866071428571429,0.289418517057939,0.6642857142857144,0.2858046873256966,0.7017857142857145,0.271046414134821,0.0223214285714284,0.0375,0.475,0.5025252685881778,0.425,0.4974619125424375,0.575,0.4974619125424375,0.0499999999999999,0.1499999999999999,0.4395833333333333,0.4840956813399424,0.40625,0.4845312885874896,0.3583333333333333,0.3841534064178623,0.0333333333333333,-0.0479166666666667,ferry_p02
rslt_use_sud_ol\ferry,p03,0.7149999999999999,0.2904263376953244,0.5933333333333333,0.2857441469463972,0.6616666666666666,0.2617358395740142,0.1216666666666665,0.0683333333333333,0.6666666666666666,0.4753826885415284,0.35,0.4809947319913076,0.7166666666666667,0.4544196025054849,0.3166666666666666,0.3666666666666667,0.4319444444444444,0.3861697038554021,0.3083333333333333,0.4423709872894923,0.2761111111111111,0.1979263180320965,0.1236111111111111,-0.0322222222222222,ferry_p03
rslt_use_sud_ol\ferry,p04,0.8294642857142858,0.2629968941140067,0.6741071428571429,0.2948020694287929,0.7089285714285715,0.2712845815847846,0.1553571428571428,0.0348214285714285,0.725,0.44933143021295,0.45,0.5006325113218328,0.625,0.4871773518462232,0.2749999999999999,0.175,0.68125,0.4494047868539646,0.4375,0.4928283137518004,0.3452083333333333,0.3482848647966395,0.24375,-0.0922916666666667,ferry_p04
rslt_use_sud_ol\ferry,p05,0.7482142857142857,0.3051641549346644,0.6482142857142856,0.3044861763168736,0.6705357142857143,0.2878522518307079,0.1,0.0223214285714287,0.6125,0.4902530991904312,0.4375,0.4992082338658825,0.6,0.4929888180106566,0.175,0.1624999999999999,0.5525,0.4722622635460304,0.39375,0.4685943834517563,0.343125,0.3886640335979883,0.15875,-0.0506249999999999,ferry_p05
rslt_use_sud_ol\ferry,p06,0.7964285714285715,0.2765482706667739,0.6482142857142857,0.2897042827239035,0.68125,0.2660366100984676,0.1482142857142857,0.0330357142857142,0.675,0.4713299255661338,0.4125,0.4953901416106938,0.55,0.5006325113218328,0.2625,0.1375,0.60625,0.4548873139079946,0.38125,0.4722940914946528,0.3039583333333333,0.332564976784092,0.2249999999999999,-0.0772916666666666,ferry_p06
rslt_use_sud_ol\intrusion-detection-aaai,p20,0.9921052631578948,0.0532233329720147,0.9048684210526317,0.2124134787009154,0.9084210526315788,0.2037551670464046,0.0872368421052632,0.0035526315789473,0.99,0.0997484272744116,0.84,0.3675260220507143,0.86,0.3478577656537627,0.15,0.02,0.95,0.1760348678724407,0.8008333333333333,0.3786961896033554,0.7290000000000001,0.375362248262176,0.1491666666666666,-0.0718333333333332,intrusion-detection-aaai_p20
rslt_use_sud_ol\intrusion-detection,p10,1.0,0.0,0.8333333333333335,0.2558701035954657,0.8394444444444444,0.2310123191681178,0.1666666666666665,0.0061111111111109,1.0,0.0,0.7,0.4605661864718383,0.8,0.4020151261036848,0.3,0.1,1.0,0.0,0.7,0.4605661864718383,0.5183333333333333,0.3622902272408252,0.3,-0.1816666666666666,intrusion-detection_p10
rslt_use_sud_ol\intrusion-detection,p20,0.9957894736842104,0.0379971580126474,0.9082894736842104,0.2107407249229524,0.9094736842105264,0.2052641751241248,0.0875,0.0011842105263158,0.995,0.0707106781186547,0.845,0.3628128523483501,0.86,0.3478577656537627,0.15,0.015,0.9716666666666668,0.1348220905177224,0.8216666666666668,0.3711805302562591,0.7496666666666667,0.3728501000356498,0.1499999999999999,-0.072,intrusion-detection_p20
rslt_use_sud_ol\logistics-aaai,p01,0.9216666666666664,0.1601017181968926,0.8233333333333333,0.2583413283340997,0.8533333333333333,0.0391007536535594,0.0983333333333332,0.03,0.92,0.2726599243442907,0.7,0.4605661864718383,1.0,0.0,0.22,0.3,0.7239999999999999,0.3576353314523472,0.66,0.4617343968112546,0.2838333333333332,0.048804737033431,0.0639999999999998,-0.3761666666666667,logistics-aaai_p01
rslt_use_sud_ol\logistics-aaai,p02,0.8916666666666667,0.1768097593005352,0.7922222222222222,0.2592135601859254,0.7838888888888887,0.2195255855897434,0.0994444444444445,-0.0083333333333334,0.87,0.3379976689896311,0.68,0.4688261722621507,0.75,0.4351941398892446,0.1899999999999999,0.0699999999999999,0.5675,0.3175327072948867,0.49,0.3997895069053837,0.4113333333333333,0.3894503882887672,0.0775,-0.0786666666666666,logistics-aaai_p02
rslt_use_sud_ol\logistics-aaai,p03,0.912777777777778,0.2008919814924393,0.7638888888888888,0.2775391792332706,0.8116666666666665,0.2265150733145767,0.148888888888889,0.0477777777777777,0.86,0.348735088019777,0.59,0.4943110704237103,0.82,0.3861229196653691,0.27,0.2299999999999999,0.8083333333333332,0.3626617832410371,0.5583333333333332,0.483959886475286,0.3461666666666667,0.1837209706640164,0.25,-0.2121666666666665,logistics-aaai_p03
rslt_use_sud_ol\logistics,p01,0.9505555555555554,0.1070803682404088,0.8272222222222222,0.2542683387256738,0.8572222222222221,0.0328006444995518,0.1233333333333331,0.0299999999999999,0.97,0.1714466079977653,0.7,0.4605661864718383,1.0,0.0,0.27,0.3,0.7649999999999999,0.3240240461625996,0.6666666666666665,0.4617830081075741,0.2875,0.0455281390769647,0.0983333333333333,-0.3791666666666665,logistics_p01
rslt_use_sud_ol\logistics,p02,0.8944444444444446,0.1705496056168318,0.7755555555555556,0.2588886239600191,0.7355555555555555,0.2421121260516386,0.118888888888889,-0.04,0.88,0.3265986323710904,0.63,0.4852365870939097,0.64,0.4824181513244218,0.25,0.01,0.56,0.3079748120357976,0.48,0.4239465057417501,0.3741666666666667,0.4052640089463291,0.08,-0.1058333333333332,logistics_p02
rslt_use_sud_ol\logistics,p03,0.9577777777777778,0.1483836512006422,0.79,0.2756461420198462,0.8549999999999999,0.176195080301591,0.1677777777777778,0.0649999999999998,0.94,0.238683256575942,0.64,0.4824181513244218,0.9,0.3015113445777636,0.2999999999999999,0.26,0.8983333333333334,0.268945440250713,0.6133333333333333,0.4766606625319391,0.3723333333333333,0.1560637442069498,0.2850000000000001,-0.2409999999999999,logistics_p03
rslt_use_sud_ol\logistics,p05,0.9661111111111113,0.1041282196163167,0.8166666666666665,0.2678355415015581,0.8888888888888888,0.112782048649456,0.1494444444444446,0.0722222222222223,0.97,0.1714466079977653,0.69,0.4648231987117317,0.96,0.1969463855669323,0.28,0.27,0.8458333333333333,0.2745711378938248,0.665,0.4645061821612208,0.3928333333333333,0.1260701664498261,0.1808333333333333,-0.2721666666666666,logistics_p05
