Domain,Problem name,BACC average standard,BACC stdev standard,BACC average not use,BACC stdev not use,BACC average use,BACC stdev use,BACCDROP,BACC improvement,Recall average standard,Recall stdev standard,Recall average not use,Recall stdev not use,Recall average use,Recall stdev use,Recall DROP,Recall improvement,Precision average standard,Precision stdev standard,Precision average not use,Precision stdev not use,Precision average use,Precision stdev use,Precision DROP,Precision improvement,DomainFolder
rslt_use_grd_ol\ferry,p02,0.7491071428571429,0.2893069221793235,0.6785714285714286,0.2893083173809775,0.6991071428571429,0.276219671452709,0.0705357142857142,0.0205357142857143,0.6,0.4929888180106566,0.4625,0.501737487466418,0.625,0.4871773518462232,0.1374999999999999,0.1624999999999999,0.5364583333333333,0.4741644049392493,0.4270833333333333,0.4823493184186155,0.3429166666666666,0.354871413490179,0.1093749999999999,-0.0841666666666666,ferry_p02
rslt_use_grd_ol\ferry,p03,0.7333333333333333,0.297826400729941,0.6216666666666666,0.2952113099359919,0.6616666666666666,0.2749987159702945,0.1116666666666666,0.04,0.6666666666666666,0.4753826885415284,0.3833333333333333,0.4903014177279,0.7166666666666667,0.4544196025054849,0.2833333333333332,0.3333333333333333,0.4805555555555555,0.4092177861293668,0.3666666666666666,0.477162043565086,0.2811111111111111,0.1961845730218778,0.1138888888888888,-0.0855555555555555,ferry_p03
rslt_use_grd_ol\ferry,p04,0.8285714285714286,0.2627773288685598,0.6982142857142858,0.2987477091935358,0.7178571428571429,0.2713143378157842,0.1303571428571428,0.019642857142857,0.7125,0.4554522026083082,0.4875,0.5029973450366553,0.6375,0.4837550902489524,0.225,0.1499999999999999,0.6854166666666666,0.4539200642776961,0.4875,0.5029973450366553,0.3713541666666666,0.3634347489156881,0.1979166666666665,-0.1161458333333333,ferry_p04
rslt_use_grd_ol\ferry,p05,0.7508928571428573,0.311866769953103,0.6732142857142857,0.3151178774247732,0.6848214285714287,0.2984706021299761,0.0776785714285716,0.011607142857143,0.6375,0.4837550902489524,0.4875,0.5029973450366553,0.625,0.4871773518462232,0.1499999999999999,0.1375,0.57125,0.4716355046287775,0.45,0.4812957195116669,0.390625,0.414995329392659,0.12125,-0.059375,ferry_p05
rslt_use_grd_ol\ferry,p06,0.7821428571428571,0.2818224999309336,0.6598214285714287,0.2841830009727001,0.6535714285714287,0.2727861737042317,0.1223214285714284,-0.0062499999999999,0.6625,0.4758403625512566,0.4375,0.4992082338658825,0.5,0.5031546054266276,0.2249999999999999,0.0625,0.56875,0.4482296399465147,0.36875,0.4482296399465147,0.271875,0.3181521205340006,0.1999999999999999,-0.096875,ferry_p06
rslt_use_grd_ol\intrusion-detection-aaai,p20,0.9942105263157895,0.0385174669679444,0.9075,0.2085829622180929,0.9011842105263156,0.2124924308567181,0.0867105263157895,-0.0063157894736843,0.995,0.0707106781186547,0.845,0.3628128523483501,0.845,0.3628128523483501,0.15,0.0,0.945,0.1745297582531784,0.795,0.3768533208831209,0.72,0.3783504707635081,0.1499999999999999,-0.075,intrusion-detection-aaai_p20
rslt_use_grd_ol\intrusion-detection,p10,1.0,0.0,0.8333333333333335,0.2558701035954657,0.8394444444444444,0.2310123191681178,0.1666666666666665,0.0061111111111109,1.0,0.0,0.7,0.4605661864718383,0.8,0.4020151261036848,0.3,0.1,1.0,0.0,0.7,0.4605661864718383,0.5183333333333333,0.3622902272408252,0.3,-0.1816666666666666,intrusion-detection_p10
rslt_use_grd_ol\intrusion-detection,p20,0.990657894736842,0.0644007084211454,0.9027631578947368,0.2159799686198432,0.901315789473684,0.2136887248836861,0.0878947368421052,-0.0014473684210527,0.985,0.1218574832792626,0.835,0.3721119948126062,0.845,0.3628128523483501,0.15,0.01,0.9625,0.1632287806756854,0.8125,0.3787846428977056,0.7386666666666667,0.3810772587856638,0.15,-0.0738333333333333,intrusion-detection_p20
rslt_use_grd_ol\logistics-aaai,p01,0.8983333333333333,0.1939114066272331,0.8183333333333332,0.2606809265261758,0.8472222222222223,0.0750669983825472,0.08,0.028888888888889,0.88,0.3265986323710904,0.69,0.4648231987117317,0.99,0.1,0.19,0.3,0.711,0.3868795129956581,0.6516666666666666,0.4642645004465232,0.2823333333333333,0.0602007490883365,0.0593333333333333,-0.3693333333333333,logistics-aaai_p01
rslt_use_grd_ol\logistics-aaai,p02,0.8705555555555555,0.189191511723552,0.7872222222222223,0.2561203683771423,0.7688888888888888,0.222743496358975,0.0833333333333332,-0.0183333333333334,0.84,0.3684529491774706,0.67,0.4725815626252608,0.72,0.451260859854213,0.1699999999999999,0.0499999999999999,0.5,0.2965855070008698,0.4683333333333332,0.3926191941943639,0.3866666666666666,0.3859412096212979,0.0316666666666667,-0.0816666666666666,logistics-aaai_p02
