Domain,Problem name,BACC average standard,BACC stdev standard,BACC average not use,BACC stdev not use,BACC average use,BACC stdev use,BACCDROP,BACC improvement,Recall average standard,Recall stdev standard,Recall average not use,Recall stdev not use,Recall average use,Recall stdev use,Recall DROP,Recall improvement,Precision average standard,Precision stdev standard,Precision average not use,Precision stdev not use,Precision average use,Precision stdev use,Precision DROP,Precision improvement,DomainFolder
rslt_use_oc_ol\bw,p01,0.6585714285714286,0.2601142684909664,0.6363095238095238,0.2575767166896756,0.650952380952381,0.26470900809303,0.0222619047619048,0.0146428571428571,0.4428571428571428,0.4979108782222826,0.3952380952380952,0.4900699983946151,0.4428571428571428,0.4979108782222826,0.0476190476190476,0.0476190476190476,0.1914077853363567,0.2794749410175504,0.1843046107331821,0.2907874936840368,0.1792633821205249,0.2574115495213028,0.0071031746031746,-0.0050412286126571,bw_p01
rslt_use_oc_ol\bw,p02,0.63,0.2554769020883516,0.6053947368421053,0.2481785074974869,0.6107894736842105,0.247646391227862,0.0246052631578946,0.0053947368421052,0.38,0.4866044796320621,0.325,0.4695501963950961,0.36,0.4812045188324021,0.0549999999999999,0.0349999999999999,0.1844900793650793,0.2960817032536503,0.1573333333333333,0.2730273648041192,0.1393869047619047,0.2378085968249142,0.027156746031746,-0.0179464285714285,bw_p02
rslt_use_oc_ol\bw,p03,0.5976315789473684,0.25954394973998,0.5775000000000001,0.2465564492867558,0.5855263157894737,0.2590763886868971,0.0201315789473682,0.0080263157894735,0.33,0.4713926763075365,0.285,0.4525472295516506,0.34,0.4748975028266149,0.045,0.055,0.1671388888888889,0.2837196857321761,0.1455059523809523,0.2707339844050241,0.1362533577533577,0.2347192121620259,0.0216329365079365,-0.0092525946275946,bw_p03
rslt_use_oc_ol\bw,p04,0.5364473684210526,0.1930327359103465,0.5357894736842106,0.1896748762850413,0.5506578947368422,0.2150068296015017,0.0006578947368419,0.0148684210526316,0.155,0.3628128523483501,0.145,0.3529844046834771,0.195,0.3971949384061652,0.01,0.05,0.1114583333333333,0.2835813249864525,0.125,0.3191059187501091,0.1244642857142857,0.2766874811208563,-0.0135416666666666,-0.0005357142857142,bw_p04
rslt_use_oc_ol\bw,p05,0.599078947368421,0.2255912684444831,0.5685526315789474,0.2076954860219757,0.5786842105263159,0.2174699596918282,0.0305263157894736,0.0101315789473684,0.275,0.447634766770981,0.215,0.41185326947578,0.25,0.4340993101299245,0.06,0.035,0.178047619047619,0.3374826491123605,0.1571969696969697,0.3428242989312529,0.1507252747252747,0.3139373016722575,0.0208506493506493,-0.0064716949716949,bw_p05
rslt_use_oc_ol\bw,p06,0.6321052631578947,0.2614458991004317,0.6185526315789474,0.255890085656526,0.6207894736842106,0.2634247522912608,0.0135526315789473,0.0022368421052632,0.375,0.4853377832181371,0.345,0.4765611742093759,0.38,0.4866044796320621,0.03,0.035,0.2066309523809524,0.3261133852429861,0.1920833333333333,0.3178126030259017,0.1811825396825396,0.2948864270816693,0.014547619047619,-0.0109007936507936,bw_p06
rslt_use_oc_ol\depots,p01,0.7805555555555554,0.2806667946287607,0.7122222222222221,0.292630948344785,0.7816666666666666,0.2387583492160308,0.0683333333333333,0.0694444444444445,0.69,0.4648231987117317,0.55,0.5,0.77,0.4229525846816507,0.1399999999999999,0.2199999999999999,0.55025,0.4494516783451007,0.4516666666666666,0.4592209036877986,0.3986111111111111,0.3519177459119766,0.0985833333333333,-0.0530555555555555,depots_p01
rslt_use_oc_ol\depots,p03,0.6821428571428572,0.2717899944534216,0.6008928571428571,0.2783160024325286,0.5857142857142857,0.2433300363445604,0.08125,-0.0151785714285713,0.6,0.4929888180106566,0.4,0.4929888180106566,0.5625,0.4992082338658825,0.1999999999999999,0.1624999999999999,0.310625,0.3360568457664534,0.2458333333333333,0.3477625893701058,0.1904166666666666,0.2675325472792556,0.0647916666666667,-0.0554166666666666,depots_p03
rslt_use_oc_ol\driverlog,p01,0.8766666666666667,0.2212190161521939,0.6466666666666665,0.2999811670171508,0.7566666666666665,0.1925446606054907,0.2300000000000002,0.1099999999999999,0.85,0.3600847357902755,0.4333333333333333,0.4997174342809082,0.8166666666666667,0.390204929499423,0.4166666666666666,0.3833333333333333,0.7083333333333334,0.3715709511673543,0.4,0.4765696633943422,0.3722222222222221,0.2851745866725626,0.3083333333333333,-0.0277777777777779,driverlog_p01
rslt_use_oc_ol\driverlog,p02,0.7766666666666667,0.3016152373677918,0.5766666666666667,0.2726932010903534,0.6366666666666665,0.303631504286825,0.2,0.0599999999999998,0.65,0.4809947319913076,0.3,0.4621247905424446,0.6666666666666666,0.4753826885415284,0.35,0.3666666666666666,0.6333333333333333,0.477162043565086,0.2833333333333333,0.4449973020930087,0.3177777777777777,0.3164936587558158,0.35,0.0344444444444443,driverlog_p02
